,District Number,Zip Codes,District,Campus Number,Campus,Region,County,School Type,Grades Served,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score,Support Label,Public Education Grant,Distinction ELA/Reading,Distinction Mathematics,Distinction Science,Distinction Soc Studies,Distinction Progress,Distinction Closing the Gaps,Distinction Postsecondary Readiness,US Congress District,US Congress Election District,TX House District,TX House Election District,TX Senate District,TX Senate Election District,Campus Enrollment Type
1,1902,,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,40.80%,1.00%,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
2,1903,,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,150",45.40%,2.80%,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
3,1904,,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,54.20%,4.10%,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
4,1906,,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,342,54.10%,2.00%,A,97,A,95,A,94,A,92,A,94,A,100,,,,,,,,,Earned,,,,,,,
5,1907,,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"3,360",81.60%,17.70%,B,89,B,88,A,92,B,87,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
6,1908,,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,332",74.00%,7.10%,B,88,B,85,A,92,B,89,A,92,C,77,,,,,,,,,Not Earned,,,,,,,
7,1909,,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,361,46.80%,0.60%,B,89,A,92,A,91,B,89,A,91,B,83,,,,,,,,,Not Earned,,,,,,,
8,2901,,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,"4,131",49.60%,14.20%,B,89,B,88,A,91,B,84,A,91,B,85,,,,,,,,,Not Earned,,,,,,,
9,3801,,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,995,57.80%,5.10%,A,92,A,93,A,93,A,90,A,93,B,89,,,,,,,,,Earned,,,,,,,
10,3902,,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"2,799",50.10%,6.90%,A,92,A,90,A,91,A,90,A,91,A,94,,,,,,,,,Not Earned,,,,,,,
11,3903,,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"7,318",85.80%,20.50%,B,87,B,82,A,91,C,76,A,91,C,77,,,,,,,,,Earned,,,,,,,
12,3904,,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,612",58.60%,1.20%,B,88,B,87,A,90,C,79,A,90,B,83,,,,,,,,,Not Earned,,,,,,,
13,3905,,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,744",70.60%,15.40%,A,90,B,89,A,92,C,76,A,92,B,84,,,,,,,,,Not Earned,,,,,,,
14,3906,,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,300,68.70%,0.00%,B,88,B,86,A,92,Not Rated: Senate Bill 1365,60,A,92,C,79,,,,,,,,,Not Earned,,,,,,,
15,3907,,CENTRAL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,"1,451",56.40%,5.00%,A,90,B,89,A,91,C,79,A,91,B,86,,,,,,,,,Not Earned,,,,,,,
16,4901,,ARANSAS COUNTY ISD,,,REGION 02: CORPUS CHRISTI,ARANSAS,District,,No,No,"3,005",66.90%,5.00%,B,84,B,81,B,89,B,80,B,89,C,72,,,,,,,,,Not Earned,,,,,,,
17,5901,,ARCHER CITY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,506,41.10%,2.20%,A,91,A,92,A,90,A,90,A,90,B,88,,,,,,,,,Earned,,,,,,,
18,5902,,HOLLIDAY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,"1,126",24.70%,0.50%,A,94,A,94,A,90,A,90,B,85,A,94,,,,,,,,,Not Earned,,,,,,,
19,5904,,WINDTHORST ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,530,30.00%,5.70%,A,95,A,93,A,91,A,91,B,84,A,100,,,,,,,,,Not Earned,,,,,,,
20,6902,,CLAUDE ISD,,,REGION 16: AMARILLO,ARMSTRONG,District,,No,No,307,36.20%,1.00%,A,94,A,91,B,85,B,85,B,81,A,100,,,,,,,,,,,,,,,,
21,7901,,CHARLOTTE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,397,68.50%,6.50%,B,83,B,84,B,86,Not Rated: Senate Bill 1365,60,B,86,C,77,,,,,,,,,Not Earned,,,,,,,
22,7902,,JOURDANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,569",55.30%,3.10%,A,90,B,82,A,91,A,91,B,82,B,86,,,,,,,,,Not Earned,,,,,,,
23,7904,,LYTLE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,740",74.00%,14.70%,B,86,C,78,A,91,C,79,A,91,C,74,,,,,,,,,Not Earned,,,,,,,
24,7905,,PLEASANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"3,374",66.10%,5.20%,B,89,B,86,A,90,B,87,A,90,B,86,,,,,,,,,Not Earned,,,,,,,
25,7906,,POTEET ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,676",71.70%,8.10%,C,72,C,72,C,76,C,76,C,72,Not Rated: Senate Bill 1365,63,,,,,,,,,Not Earned,,,,,,,
26,8901,,BELLVILLE ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,191",45.30%,9.70%,C,78,B,80,C,71,C,70,C,71,C,74,,,,,,,,,Not Earned,,,,,,,
27,8902,,SEALY ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,814",60.30%,16.90%,B,81,B,81,B,82,C,73,B,82,B,80,,,,,,,,,Not Earned,,,,,,,
28,8903,,BRAZOS ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,766,58.40%,16.80%,B,87,B,80,B,89,B,89,C,76,B,82,,,,,,,,,Not Earned,,,,,,,
29,9901,,MULESHOE ISD,,,REGION 17: LUBBOCK,BAILEY,District,,No,No,"1,347",87.60%,30.50%,A,90,B,89,A,94,C,73,A,94,B,80,,,,,,,,,Not Earned,,,,,,,
30,10901,,MEDINA ISD,,,REGION 20: SAN ANTONIO,BANDERA,District,,No,No,265,57.00%,1.50%,C,76,C,78,C,76,C,76,C,75,C,72,,,,,,,,,,,,,,,,
31,10902,,BANDERA ISD,,,REGION 20: SAN ANTONIO,BANDERA,District,,No,No,"2,301",48.00%,5.30%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,60,Not Rated: Senate Bill 1365,67,,,,,,,,,Not Earned,,,,,,,
32,11901,,BASTROP ISD,,,REGION 13: AUSTIN,BASTROP,District,,No,No,"11,947",70.20%,37.40%,C,75,C,73,C,79,C,79,C,75,Not Rated: Senate Bill 1365,67,,,,,,,,,Not Earned,,,,,,,
33,11902,,ELGIN ISD,,,REGION 13: AUSTIN,BASTROP,District,,No,No,"4,985",71.10%,41.30%,C,78,C,77,B,82,C,70,B,82,C,70,,,,,,,,,Not Earned,,,,,,,
34,11904,,SMITHVILLE ISD,,,REGION 13: AUSTIN,BASTROP,District,,No,No,"1,780",45.70%,8.30%,B,80,B,81,C,75,C,73,C,75,C,76,,,,,,,,,Not Earned,,,,,,,
35,11905,,MCDADE ISD,,,REGION 13: AUSTIN,BASTROP,District,,No,No,319,57.70%,23.80%,B,86,B,80,A,90,C,73,A,90,C,77,,,,,,,,,Not Earned,,,,,,,
36,12901,,SEYMOUR ISD,,,REGION 09: WICHITA FALLS,BAYLOR,District,,No,No,618,60.50%,0.60%,A,96,A,96,A,95,A,94,A,95,A,96,,,,,,,,,Earned,,,,,,,
37,13801,,ST MARY'S ACADEMY CHARTER SCHOOL,,,REGION 02: CORPUS CHRISTI,BEE,District,,No,Yes,401,83.50%,1.20%,B,81,C,74,B,82,C,79,B,82,C,78,,,,,,,,,,,,,,,,
38,13901,,BEEVILLE ISD,,,REGION 02: CORPUS CHRISTI,BEE,District,,No,No,"2,996",83.90%,2.30%,B,87,B,83,A,91,C,73,A,91,C,76,,,,,,,,,Not Earned,,,,,,,
39,13902,,PAWNEE ISD,,,REGION 02: CORPUS CHRISTI,BEE,District,,No,No,498,88.00%,0.80%,B,87,C,74,A,91,A,91,B,82,C,78,,,,,,,,,,,,,,,,
40,13903,,PETTUS ISD,,,REGION 02: CORPUS CHRISTI,BEE,District,,No,No,377,66.00%,0.50%,B,85,C,70,B,89,B,89,Not Rated: Senate Bill 1365,58,C,76,,,,,,,,,Not Earned,,,,,,,
41,13905,,SKIDMORE-TYNAN ISD,,,REGION 02: CORPUS CHRISTI,BEE,District,,No,No,785,60.10%,2.20%,A,93,A,92,A,94,A,93,A,94,A,90,,,,,,,,,Not Earned,,,,,,,
42,14801,,RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,,,REGION 20: SAN ANTONIO,BELL,District,,Yes,Yes,"1,590",97.00%,9.30%,C,73,C,74,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,58,Not Rated,        .,Not Rated: Senate Bill 1365,62,,,,,,,,,,,,,,,,
43,14803,,PRIORITY CHARTER SCHOOLS,,,REGION 12: WACO,BELL,District,,No,Yes,836,57.80%,6.10%,B,86,B,86,A,90,B,80,A,90,C,78,,,,,,,,,Not Earned,,,,,,,
44,14804,,ORENDA CHARTER SCHOOL,,,REGION 12: WACO,BELL,District,,No,Yes,"1,900",11.30%,2.60%,A,91,A,92,B,89,A,90,C,75,B,89,,,,,,,,,Not Earned,,,,,,,
45,14901,,ACADEMY ISD,,,REGION 12: WACO,BELL,District,,No,No,"1,749",36.40%,5.90%,B,84,B,82,B,87,B,87,C,74,C,76,,,,,,,,,Not Earned,,,,,,,
46,14902,,BARTLETT ISD,,,REGION 13: AUSTIN,BELL,District,,No,No,394,88.30%,22.10%,B,82,B,80,B,85,C,76,B,85,C,74,,,,,,,,,,,,,,,,
47,14903,,BELTON ISD,,,REGION 12: WACO,BELL,District,,No,No,"13,298",40.20%,6.30%,B,87,B,89,B,86,C,79,B,86,B,81,,,,,,,,,Not Earned,,,,,,,
48,14905,,HOLLAND ISD,,,REGION 12: WACO,BELL,District,,No,No,656,43.40%,2.10%,A,94,A,93,A,91,A,91,A,90,A,96,,,,,,,,,Not Earned,,,,,,,
49,14906,,KILLEEN ISD,,,REGION 12: WACO,BELL,District,,No,No,"43,839",61.90%,11.20%,C,78,C,76,B,80,C,73,B,80,C,74,,,,,,,,,Not Earned,,,,,,,
50,14907,,ROGERS ISD,,,REGION 12: WACO,BELL,District,,No,No,893,47.10%,6.90%,B,88,A,90,A,91,B,80,A,91,B,82,,,,,,,,,Not Earned,,,,,,,
51,14908,,SALADO ISD,,,REGION 12: WACO,BELL,District,,No,No,"2,233",23.40%,5.60%,B,88,A,91,B,84,B,84,B,80,B,82,,,,,,,,,Not Earned,,,,,,,
52,14909,,TEMPLE ISD,,,REGION 12: WACO,BELL,District,,No,No,"8,395",77.50%,13.80%,C,77,C,70,B,80,B,80,C,76,C,70,,,,,,,,,Not Earned,,,,,,,
53,14910,,TROY ISD,,,REGION 12: WACO,BELL,District,,No,No,"1,636",45.80%,5.40%,A,90,A,91,A,90,B,84,A,90,B,89,,,,,,,,,Not Earned,,,,,,,
54,15801,,POR VIDA ACADEMY,,,REGION 20: SAN ANTONIO,BEXAR,District,,Yes,Yes,124,91.90%,0.00%,B,83,B,83,A,94,A,94,Not Rated,        .,Not Rated: Senate Bill 1365,30,,,,,,,,,,,,,,,,
55,15802,,GEORGE GERVIN ACADEMY,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,776,86.70%,17.30%,B,85,B,80,B,89,Not Rated: Senate Bill 1365,59,B,89,C,74,,,,,,,,,Not Earned,,,,,,,
56,15805,,NEW FRONTIERS PUBLIC SCHOOLS INC,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,149,73.80%,6.70%,A,91,A,94,A,94,A,93,A,94,B,85,,,,,,,,,,,,,,,,
57,15806,,LEGACY TRADITIONAL SCHOOLS - TEXAS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,353,90.10%,24.40%,C,73,C,71,C,73,C,70,C,73,C,73,,,,,,,,,Not Earned,,,,,,,
58,15807,,SOUTHWEST PREPARATORY SCHOOL,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,794,82.50%,10.60%,B,82,C,71,B,87,B,87,B,81,C,71,,,,,,,,,Not Earned,,,,,,,
59,15808,,INSPIRE ACADEMIES,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,636,60.20%,3.90%,B,83,B,80,B,85,Not Rated: Senate Bill 1365,60,B,85,C,78,,,,,,,,,Not Earned,,,,,,,
60,15809,,BEXAR COUNTY ACADEMY,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,261,96.90%,20.30%,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,47,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,49,Not Rated: Senate Bill 1365,65,,,,,,,,,,,,,,,,
61,15814,,POSITIVE SOLUTIONS CHARTER SCHOOL,,,REGION 20: SAN ANTONIO,BEXAR,District,,Yes,Yes,93,90.30%,3.20%,Not Rated: Senate Bill 1365,69,C,77,B,83,B,83,Not Rated,        .,Not Rated: Senate Bill 1365,30,,,,,,,,,,,,,,,,
62,15815,,HERITAGE ACADEMY,,,REGION 20: SAN ANTONIO,BEXAR,District,,Yes,Yes,572,79.90%,50.20%,A,100,A,94,A,94,A,94,Not Rated,        .,A,98,,,,,,,,,,,,,,,,
63,15822,,JUBILEE ACADEMIES,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"5,764",83.70%,26.00%,C,75,C,70,C,76,C,76,C,74,C,72,,,,,,,,,Not Earned,,,,,,,
64,15825,,LIGHTHOUSE PUBLIC SCHOOLS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,408,90.70%,28.20%,Not Rated: Senate Bill 1365,51,Not Rated: Senate Bill 1365,50,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,55,Not Rated: Senate Bill 1365,40,,,,,,,,,,,,,,,,
65,15827,,SCHOOL OF SCIENCE AND TECHNOLOGY,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"3,972",60.10%,20.50%,A,91,B,89,A,93,A,93,A,90,B,85,,,,,,,,,Not Earned,,,,,,,
66,15828,,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"4,459",86.10%,39.50%,B,87,B,87,B,89,A,91,A,93,B,83,,,,,,,,,Not Earned,,,,,,,
67,15830,,BROOKS ACADEMIES OF TEXAS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"3,141",63.60%,6.90%,B,81,C,77,B,82,B,82,C,78,B,80,,,,,,,,,Not Earned,,,,,,,
68,15831,,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"5,288",64.60%,16.50%,A,91,A,91,A,93,A,93,A,93,B,87,,,,,,,,,Not Earned,,,,,,,
69,15833,,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,93,46.20%,0.00%,A,90,C,74,A,98,A,98,Not Rated: Senate Bill 1365,65,C,71,,,,,,,,,,,,,,,,
70,15834,,BASIS TEXAS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"3,421",8.10%,13.40%,A,99,A,98,A,94,A,94,A,94,A,100,,,,,,,,,Earned,,,,,,,
71,15835,,GREAT HEARTS TEXAS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"8,136",22.30%,7.70%,A,92,A,92,B,87,B,87,B,83,A,91,,,,,,,,,Not Earned,,,,,,,
72,15836,,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,489,17.80%,8.00%,B,89,A,93,A,90,A,90,B,85,C,79,,,,,,,,,,,,,,,,
73,15838,,COMPASS ROSE PUBLIC SCHOOLS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,"1,836",87.10%,15.50%,C,77,Not Rated: Senate Bill 1365,55,B,80,B,80,Not Rated: Senate Bill 1365,60,C,71,,,,,,,,,Not Earned,,,,,,,
74,15839,,PROMESA ACADEMY CHARTER SCHOOL,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,262,80.90%,9.20%,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,56,Not Rated,        .,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,66,,,,,,,,,,,,,,,,
75,15840,,SAN ANTONIO PREPARATORY SCHOOLS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,205,56.10%,0.00%,C,74,Not Rated: Senate Bill 1365,57,C,75,C,75,Not Rated: Senate Bill 1365,53,C,72,,,,,,,,,,,,,,,,
76,15841,,THE GATHERING PLACE,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,465,57.60%,4.90%,Not Rated: Senate Bill 1365,41,Not Rated: Senate Bill 1365,46,Not Rated: Senate Bill 1365,44,Not Rated,        .,Not Rated: Senate Bill 1365,44,Not Rated: Senate Bill 1365,30,,,,,,,,,,,,,,,,
77,15842,,ROYAL PUBLIC SCHOOLS,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,111,97.30%,9.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,,,,,,,
78,15843,,PRELUDE PREPARATORY CHARTER SCHOOL,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,Yes,30,86.70%,0.00%,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,,,,,,,
79,15901,,ALAMO HEIGHTS ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"4,788",19.50%,6.70%,A,91,A,92,A,91,A,91,C,76,B,89,,,,,,,,,Not Earned,,,,,,,
80,15904,,HARLANDALE ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"12,078",88.30%,17.50%,B,83,C,75,B,87,B,87,B,82,C,72,,,,,,,,,Not Earned,,,,,,,
81,15905,,EDGEWOOD ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"8,383",89.00%,21.90%,C,70,Not Rated: Senate Bill 1365,63,C,70,C,70,Not Rated: Senate Bill 1365,69,C,71,,,,,,,,,Not Earned,,,,,,,
82,15906,,RANDOLPH FIELD ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"1,458",3.70%,0.50%,A,95,A,94,A,90,A,90,C,79,A,97,,,,,,,,,Not Earned,,,,,,,
83,15907,,SAN ANTONIO ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"44,568",88.00%,22.20%,B,85,C,74,B,89,B,84,A,90,C,74,,,,,,,,,Not Earned,,,,,,,
84,15908,,SOUTH SAN ANTONIO ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"7,919",90.30%,20.20%,C,72,Not Rated: Senate Bill 1365,65,C,75,C,70,C,75,Not Rated: Senate Bill 1365,66,,,,,,,,,Not Earned,,,,,,,
85,15909,,SOMERSET ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"3,955",84.70%,21.60%,A,90,B,85,A,91,A,90,A,91,B,88,,,,,,,,,Earned,,,,,,,
86,15910,,NORTH EAST ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"59,445",59.30%,16.50%,B,89,B,87,A,90,A,90,A,90,B,86,,,,,,,,,Not Earned,,,,,,,
87,15911,,EAST CENTRAL ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"10,002",66.40%,13.30%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,68,C,70,C,70,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,63,,,,,,,,,Not Earned,,,,,,,
88,15912,,SOUTHWEST ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"13,165",81.80%,18.60%,B,86,B,82,B,88,B,84,B,88,B,81,,,,,,,,,Not Earned,,,,,,,
89,15913,,LACKLAND ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,910,13.50%,2.20%,B,81,B,84,B,82,B,82,Not Rated: Senate Bill 1365,56,C,75,,,,,,,,,Not Earned,,,,,,,
90,15914,,FT SAM HOUSTON ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"1,635",25.70%,1.90%,A,93,A,93,B,84,B,84,B,81,A,92,,,,,,,,,Not Earned,,,,,,,
91,15915,,NORTHSIDE ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"101,584",48.90%,10.50%,B,84,B,82,B,85,B,85,C,79,B,81,,,,,,,,,Not Earned,,,,,,,
92,15916,,JUDSON ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"24,517",68.70%,11.00%,B,81,C,73,B,82,B,82,B,81,C,77,,,,,,,,,Not Earned,,,,,,,
93,15917,,SOUTHSIDE ISD,,,REGION 20: SAN ANTONIO,BEXAR,District,,No,No,"5,516",86.10%,20.80%,B,88,C,74,A,92,A,92,B,82,C,77,,,,,,,,,Not Earned,,,,,,,
94,16901,,JOHNSON CITY ISD,,,REGION 13: AUSTIN,BLANCO,District,,No,No,697,31.30%,7.70%,A,91,A,94,A,93,B,87,A,93,B,85,,,,,,,,,Not Earned,,,,,,,
95,16902,,BLANCO ISD,,,REGION 13: AUSTIN,BLANCO,District,,No,No,"1,058",42.00%,8.50%,B,87,A,90,B,89,B,89,B,85,B,81,,,,,,,,,Not Earned,,,,,,,
96,17901,,BORDEN COUNTY ISD,,,REGION 17: LUBBOCK,BORDEN,District,,No,No,245,42.00%,0.80%,A,97,A,96,A,91,B,86,A,91,A,100,,,,,,,,,,,,,,,,
97,18901,,CLIFTON ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,"1,024",62.00%,8.10%,B,86,B,87,B,88,B,82,B,88,B,80,,,,,,,,,Not Earned,,,,,,,
98,18902,,MERIDIAN ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,392,63.30%,5.40%,Not Rated: Senate Bill 1365,64,C,75,C,73,Not Rated: Senate Bill 1365,65,C,73,Not Rated: Senate Bill 1365,38,,,,,,,,,Not Earned,,,,,,,
99,18903,,MORGAN ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,139,69.80%,12.90%,B,81,B,80,B,83,Not Rated: Senate Bill 1365,69,B,83,C,76,,,,,,,,,,,,,,,,
100,18904,,VALLEY MILLS ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,618,50.50%,6.80%,B,89,A,92,A,93,C,79,A,93,B,81,,,,,,,,,Not Earned,,,,,,,
101,18905,,WALNUT SPRINGS ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,178,87.60%,30.30%,B,80,B,81,B,83,C,76,B,83,C,74,,,,,,,,,,,,,,,,
102,18906,,IREDELL ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,133,58.60%,1.50%,B,89,A,90,A,91,B,85,A,91,B,84,,,,,,,,,,,,,,,,
103,18907,,KOPPERL ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,179,63.70%,0.60%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,67,Not Rated: Senate Bill 1365,65,Not Rated: Senate Bill 1365,67,C,70,,,,,,,,,,,,,,,,
104,18908,,CRANFILLS GAP ISD,,,REGION 12: WACO,BOSQUE,District,,No,No,132,72.00%,6.10%,B,86,B,85,B,87,B,87,B,83,B,83,,,,,,,,,,,,,,,,
105,19901,,DEKALB ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,783,68.80%,5.10%,B,87,B,88,A,90,B,87,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
106,19902,,HOOKS ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,886,56.40%,2.70%,B,89,B,86,A,90,A,90,B,85,B,86,,,,,,,,,Not Earned,,,,,,,
107,19903,,MAUD ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,474,57.00%,0.40%,A,92,A,94,A,93,B,80,A,93,B,88,,,,,,,,,,,,,,,,
108,19905,,NEW BOSTON ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,"1,196",79.80%,3.40%,B,87,B,87,B,89,C,73,A,92,B,81,,,,,,,,,Not Earned,,,,,,,
109,19906,,REDWATER ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,"1,099",51.10%,0.50%,A,93,A,91,A,91,A,91,A,91,A,96,,,,,,,,,Not Earned,,,,,,,
110,19907,,TEXARKANA ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,"7,126",76.50%,9.10%,B,80,C,76,B,83,C,76,B,83,C,73,,,,,,,,,Not Earned,,,,,,,
111,19908,,LIBERTY-EYLAU ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,"2,131",83.80%,2.80%,C,77,Not Rated: Senate Bill 1365,67,B,85,B,85,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,57,,,,,,,,,Not Earned,,,,,,,
112,19909,,SIMMS ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,473,46.50%,0.80%,A,92,A,91,B,88,C,79,B,88,A,95,,,,,,,,,Not Earned,,,,,,,
113,19910,,MALTA ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,208,50.50%,0.00%,B,84,B,88,B,85,B,82,B,85,C,74,,,,,,,,,,,,,,,,
114,19911,,RED LICK ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,500,12.40%,0.40%,A,94,A,92,A,91,A,91,B,80,A,100,,,,,,,,,,,,,,,,
115,19912,,PLEASANT GROVE ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,"2,313",32.70%,3.50%,A,94,A,96,A,93,A,90,A,93,B,88,,,,,,,,,Not Earned,,,,,,,
116,19913,,HUBBARD ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,69,62.30%,15.90%,B,85,B,82,B,85,B,82,B,85,Not Rated,        .,,,,,,,,,,,,,,,,
117,19914,,LEARY ISD,,,REGION 08: MT PLEASANT,BOWIE,District,,No,No,105,98.10%,0.00%,C,79,C,73,B,83,B,80,B,83,Not Rated: Senate Bill 1365,68,,,,,,,,,,,,,,,,
118,20901,,ALVIN ISD,,,REGION 04: HOUSTON,BRAZORIA,District,,No,No,"27,955",51.10%,17.80%,B,88,B,88,B,89,B,87,B,89,B,87,,,,,,,,,Not Earned,,,,,,,
